ticker,period,operating_margin,price,var_price
CTAS,2015-05-31,16,NA,NA
CTAS,2016-05-31,16,94.800003,NA
CTL,2012-12-31,15,39.119999,NA
CTL,2013-12-31,8,31.85,-0.18583842499586978
CTL,2014-12-31,13,39.580002,0.24270021978021972
CTL,2015-12-31,15,25.16,-0.36432544899820873
CTSH,2012-12-31,19,36.9399985,NA
CTSH,2013-12-31,19,50.4900015,0.36681114104539003
CTSH,2014-12-31,18,52.66,0.04297877669898664
CTSH,2015-12-31,17,60.02,0.13976452715533627
CTXS,2013-12-31,13,63.25,NA
CTXS,2014-12-31,10,63.799999,0.00869563636363635
CTXS,2015-12-31,11,75.650002,0.185736727049165
CTXS,2016-12-31,19,NA,NA
CVS,2013-12-31,6,71.57,NA
CVS,2014-12-31,6,96.309998,0.3456755344418052
CVS,2015-12-31,6,97.769997,0.015159371096653995
CVS,2016-12-31,6,NA,NA
CVX,2012-12-31,15,108.139999,NA
CVX,2013-12-31,12,124.910004,0.15507680002845192
CVX,2014-12-31,10,112.18,-0.1019134063913727
CVX,2015-12-31,3,89.959999,-0.19807453200213954
CXO,2012-12-31,47,80.559998,NA
CXO,2013-12-31,27,108,0.3406157234512346
CXO,2014-12-31,41,99.75,-0.07638888888888884
CXO,2015-12-31,21,92.860001,-0.06907267167919806
D,2012-12-31,22,51.799999,NA
D,2013-12-31,25,64.690002,0.24884176156065196
D,2014-12-31,22,76.900002,0.18874632280889392
D,2015-12-31,30,67.639999,-0.12041616071739503
DAL,2013-12-31,9,27.469999,NA
DAL,2014-12-31,5,49.189999,0.7906807714117499
DAL,2015-12-31,19,50.689999,0.030494003466029707
DAL,2016-12-31,18,NA,NA
DD,2013-12-31,10,61.6999040836,NA
DD,2014-12-31,14,70.2184197531,0.1380636776672759
DD,2015-12-31,12,66.599998,-0.05153094823015081
DD,2016-12-31,14,NA,NA
DE,2013-10-31,16,81.839996,NA
DE,2014-10-31,15,85.540001,0.04521022948241593
DE,2015-10-31,12,NA,NA
DE,2016-10-31,11,88.300003,NA
DFS,2012-11-30,0,41.610001,NA
DFS,2013-12-31,0,55.950001,0.34462868674288205
DFS,2014-12-31,0,65.489998,0.1705093267111828
DFS,2015-12-31,0,53.619999,-0.18124903592148534
DG,2013-02-01,10,46.279999,NA
DG,2014-01-31,10,56.32,0.21694038930294712
DG,2015-01-30,9,67.059998,0.19069598721590886
DG,2016-01-29,10,75.059998,0.11929615625696854
DGX,2012-12-31,16,58.27,NA
DGX,2013-12-31,21,53.540001,-0.08117382872833367
DGX,2014-12-31,13,67.059998,0.2525214185184643
DGX,2015-12-31,19,71.139999,0.06084105460307376
DHI,2013-09-30,12,19.43,NA
DHI,2014-09-30,12,20.52,0.0560988162635101
DHI,2015-09-30,12,29.360001,0.430799269005848
DHI,2016-09-30,13,30.200001,0.028610353248966103
DHR,2012-12-31,17,42.3805928734,NA
DHR,2013-12-31,17,58.5291902957,0.3810375534513959
DHR,2014-12-31,17,64.9810485216,0.11023317071881666
DHR,2015-12-31,17,70.416984837,0.08365417978124912
DIS,2013-09-28,21,NA,NA
DIS,2014-09-27,23,NA,NA
DIS,2015-10-03,25,NA,NA
DIS,2016-10-01,26,NA,NA
DISCA,2013-12-31,36,46.203373531,NA
DISCA,2014-12-31,33,34.450001,-0.25438342771906275
DISCA,2015-12-31,31,26.68,-0.2255442895342732
DISCA,2016-12-31,32,NA,NA
DISCK,2013-12-31,36,41.9300005,NA
DISCK,2014-12-31,33,33.720001,-0.1958025137633851
DISCK,2015-12-31,31,25.219999,-0.2520759711721242
DISCK,2016-12-31,32,NA,NA
DLPH,2013-12-31,11,60.130001,NA
DLPH,2014-12-31,11,72.720001,0.2093796738835909
DLPH,2015-12-31,11,85.730003,0.17890541558160877
DLPH,2016-12-31,12,NA,NA
DLR,2012-12-31,29,67.889999,NA
DLR,2013-12-31,26,49.119999,-0.27647665748234884
DLR,2014-12-31,16,66.300003,0.3497557888793932
DLR,2015-12-31,23,75.620003,0.14057314597708226
DLTR,2013-02-02,12,NA,NA
DLTR,2014-02-01,12,NA,NA
DLTR,2015-01-31,12,NA,NA
DLTR,2016-01-30,7,NA,NA
DNB,2012-12-31,26,78.650002,NA
DNB,2013-12-31,27,122.75,0.5607119755699435
DNB,2014-12-31,26,120.959999,-0.014582492871690445
DNB,2015-12-31,21,103.93,-0.1407903368120893
DOV,2013-12-31,16,80.1161834025,NA
DOV,2014-12-31,16,71.720001,-0.10480007965828786
DOV,2015-12-31,13,61.310001,-0.14514779496447572
DOV,2016-12-31,11,NA,NA
DPS,2013-12-31,17,48.720001,NA
DPS,2014-12-31,19,71.68,0.471264337617727
DPS,2015-12-31,21,93.199997,0.30022317243303553
DPS,2016-12-31,22,NA,NA
DRI,2013-05-26,7,NA,NA
DRI,2014-05-25,5,NA,NA
DRI,2015-05-31,5,NA,NA
DRI,2016-05-29,9,NA,NA
DUK,2012-12-31,16,63.799999,NA
DUK,2013-12-31,21,69.010002,0.08166149030817382
DUK,2014-12-31,22,83.540001,0.2105491751760853
DUK,2015-12-31,23,71.389999,-0.14543933270960818
DVA,2012-12-31,16,55.2649995,NA
DVA,2013-12-31,13,63.369999,0.14665700847423335
DVA,2014-12-31,14,75.739998,0.19520276463946296
DVA,2015-12-31,8,69.709999,-0.07961445945641565
DVN,2013-12-31,5,61.869999,NA
DVN,2014-12-31,23,61.209999,-0.01066752886160538
DVN,2015-12-31,158,32,-0.47720959773255345
DVN,2016-12-31,24,NA,NA
EA,2013-03-31,3,NA,NA
EA,2014-03-31,1,29.01,NA
EA,2015-03-31,21,58.82,1.0275766976904515
EA,2016-03-31,20,66.110001,0.12393745324719485
EBAY,2013-12-31,30,23.0934347643,NA
EBAY,2014-12-31,28,23.619526936,0.022781027468173898
EBAY,2015-12-31,26,27.48,0.1634441313943511
EBAY,2016-12-31,26,NA,NA
ECL,2012-12-31,11,71.900002,NA
ECL,2013-12-31,12,104.269997,0.45020854102340646
ECL,2014-12-31,14,104.519997,0.002397621628396074
ECL,2015-12-31,12,114.379997,0.09433601495415278
ED,2013-12-31,18,55.279999,NA
ED,2014-12-31,17,66.010002,0.19410280741864705
ED,2015-12-31,19,64.269997,-0.02635971742585308
ED,2016-12-31,21,NA,NA
EFX,2012-12-31,23,54.119999,NA
EFX,2013-12-31,27,69.089996,0.27660748848129124
EFX,2014-12-31,26,80.870003,0.1705023546390132
EFX,2015-12-31,26,111.370003,0.3771484959633302
EIX,2012-12-31,19,45.189999,NA
EIX,2013-12-31,14,46.299999,0.024562956949833126
EIX,2014-12-31,18,65.480003,0.4142549549515109
EIX,2015-12-31,17,59.209999,-0.09575448553354515
EL,2013-06-30,15,NA,NA
EL,2014-06-30,17,74.260002,NA
EL,2015-06-30,15,86.660004,0.16698090043143288
EL,2016-06-30,14,91.019997,0.05031147933018798
EMN,2012-12-31,10,68.050003,NA
EMN,2013-12-31,20,80.699997,0.18589262957122865
EMN,2014-12-31,12,75.860001,-0.059975169515805504
EMN,2015-12-31,14,67.510002,-0.11007116912640158
EMR,2013-09-30,14,64.699997,NA
EMR,2014-09-30,19,62.580002,-0.032766539386392846
EMR,2015-09-30,18,44.169998,-0.2941834997065037
EMR,2016-09-30,17,54.509998,0.23409555055900166
EOG,2012-12-31,13,60.3950005,NA
EOG,2013-12-31,25,83.919998,0.38951895529829494
EOG,2014-12-31,29,92.07,0.0971163273859943
EOG,2015-12-31,76,70.790001,-0.23112847833170402
EQIX,2012-12-31,21,206.199997,NA
EQIX,2013-12-31,21,177.449997,-0.1394277420867276
EQIX,2014-12-31,21,226.729996,0.2777120306178422
EQIX,2015-12-31,21,302.399994,0.3337449800863579
EQR,2012-12-31,29,56.669998,NA
EQR,2013-12-31,21,51.869999,-0.08470088529030828
EQR,2014-12-31,35,71.839996,0.38500091353385213
EQR,2015-12-31,37,81.589996,0.1357182703629327
EQT,2013-12-31,34,89.779999,NA
EQT,2014-12-31,31,75.699997,-0.15682782531552497
EQT,2015-12-31,9,52.130001,-0.311360593581001
EQT,2016-12-31,2,NA,NA
ES,2012-12-31,18,39.080002,NA
ES,2013-12-31,21,42.389999,0.0846979741710352
ES,2014-12-31,21,53.52,0.2625619547667364
ES,2015-12-31,22,51.07,-0.04577727952167421
ESS,2012-12-31,31,146.649994,NA
ESS,2013-12-31,31,143.509995,-0.021411518093890858
ESS,2014-12-31,21,206.600006,0.4396210243056591
ESS,2015-12-31,28,239.410004,0.15880927902780395
ETFC,2012-12-31,15,8.95,NA
ETFC,2013-12-31,13,19.639999,1.1944132960893854
ETFC,2014-12-31,31,24.26,0.23523427877974945
